,date,sum_deposit
817,2022-06-15,1311448169551.0
818,2022-06-16,189674738429.0
819,2022-06-17,177295563814.0
820,2022-06-18,1373485450483.0
821,2022-06-19,2157172371666.0
822,2022-06-20,1654548806863.0
823,2022-06-21,1934653558475.0
824,2022-06-22,1804618353131.0
825,2022-06-23,317491727188.0
826,2022-06-24,275343406603.0
827,2022-06-25,2027449779404.0
828,2022-06-26,1469047301473.0
829,2022-06-27,2464216815319.0
830,2022-06-28,2093798517431.0
831,2022-06-29,2511987807494.0
832,2022-06-30,223938582536.0
833,2022-07-01,194510623674.0
834,2022-07-02,2020842385449.0
835,2022-07-03,1822173973130.0
836,2022-07-04,1941269734521.0
837,2022-07-05,851982626439.0
838,2022-07-06,1469875136131.0
839,2022-07-07,220673032984.0
840,2022-07-08,208659545221.0
841,2022-07-09,2726481158369.0
